prashant-Lenovo-IdeaPad-Y480 masscan # bin/masscan -p0-1024 129.170.212.20/22

Starting masscan 1.0.3 (http://bit.ly/14GZzcT) at 2017-05-17 21:41:20 GMT
 -- forced options: -sS -Pn -n --randomize-hosts -v --send-eth
 Initiating SYN Stealth Scan
 Discovered open port 443/tcp on 129.170.214.243                                
 Discovered open port 23/tcp on 129.170.212.4                                   
 Discovered open port 22/tcp on 129.170.213.217                                 
 Discovered open port 143/tcp on 129.170.212.226                                
 Discovered open port 21/tcp on 129.170.213.33                                  
 Discovered open port 23/tcp on 129.170.213.219                                 
 Discovered open port 111/tcp on 129.170.213.128                                
 Discovered open port 497/tcp on 129.170.212.226                                
 Discovered open port 111/tcp on 129.170.213.40                                 
 Discovered open port 111/tcp on 129.170.213.62                                 
 Discovered open port 111/tcp on 129.170.213.126                                
 Discovered open port 875/tcp on 129.170.212.26                                 
 Discovered open port 22/tcp on 129.170.213.106                                 
 Discovered open port 111/tcp on 129.170.214.115                                
 Discovered open port 22/tcp on 129.170.212.95                                  
 Discovered open port 953/tcp on 129.170.213.128                                
 Discovered open port 631/tcp on 129.170.214.237                                
 Discovered open port 111/tcp on 129.170.213.107                                
 Discovered open port 111/tcp on 129.170.214.84                                 
 Discovered open port 995/tcp on 129.170.212.100                
